Query,Expected Article URL,Match Found,Rank (if found),Top URLs,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10,MRR
can I score survey answers,https://help.surveymonkey.com/en/surveymonkey/create/survey-score/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/survey-score/; https://help.surveymonkey.com/en/surveymonkey/send/answers-already-selected/; https://help.surveymonkey.com/en/surveymonkey/create/symptom-tracking-survey/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/integrations/salesforce-csat/; https://help.surveymonkey.com/en/surveymonkey/create/quizzes/; https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/create/csat-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I password protect my survey,https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/,True,3.0,https://help.surveymonkey.com/en/getfeedback/account/your-password/; https://help.surveymonkey.com/en/surveymonkey/send/respondent-logins/; https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/; https://help.surveymonkey.com/en/apply/faqs/account-faq/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/getting-started/logging-in/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/account/email-username-password/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
how do I track who filled out my survey,https://help.surveymonkey.com/en/surveymonkey/send/tracking-email-invitations/,False,,https://help.surveymonkey.com/en/surveymonkey/send/tracking-respondents/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/broken-survey-link/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/create/survey-title/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how do I share results with others,https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/; https://help.surveymonkey.com/en/wufoo/share/sharing-forms/; https://help.surveymonkey.com/en/getfeedback/account/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/shared-data-pages/; https://help.surveymonkey.com/en/surveymonkey/integrations/microsoft-teams-integration/; https://help.surveymonkey.com/en/surveymonkey/create/return-to-work/; https://help.surveymonkey.com/en/surveymonkey/manage/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/using-rules/; https://help.surveymonkey.com/en/surveymonkey/integrations/onedrive-integration/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
limit one response per person,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/,True,4.0,https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/; https://help.surveymonkey.com/en/wufoo/account/account-entry-limits/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-ids/; https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/billing/response-limits/; https://help.surveymonkey.com/en/wufoo/build/file-upload/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-quality/; https://help.surveymonkey.com/en/wufoo/build/add-edit-fields/; https://help.surveymonkey.com/en/surveymonkey/teams/manage-enterprise/; https://help.surveymonkey.com/en/wufoo/build/limit-total-entries/,0.0,0.0,0.0,0.0,0.2,1.0,0.1,1.0,0.25
how to cancel a team members access,https://help.surveymonkey.com/en/surveymonkey/teams/access-levels/,False,,https://help.surveymonkey.com/en/getfeedback/account/cancellation-policy/; https://help.surveymonkey.com/en/surveymonkey/getting-started/manage-seats/; https://help.surveymonkey.com/en/surveymonkey/manage/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/billing/teams/; https://help.surveymonkey.com/en/apply/monitor/manage-reviewers/; https://help.surveymonkey.com/en/apply/faqs/organization-faq/; https://help.surveymonkey.com/en/surveymonkey/teams/manage-enterprise/; https://help.surveymonkey.com/en/surveymonkey/teams/enterprise-settings/; https://help.surveymonkey.com/en/surveymonkey/teams/team-discovery/; https://help.surveymonkey.com/en/surveymonkey/teams/team-roles-permissions/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
do responses auto-save,https://help.surveymonkey.com/en/surveymonkey/send/response-recording/,False,,https://help.surveymonkey.com/en/surveymonkey/billing/automatic-renewals/; https://help.surveymonkey.com/en/wufoo/account/cancelation-policy/; https://help.surveymonkey.com/en/surveymonkey/billing/auto-renew/; https://help.surveymonkey.com/en/getfeedback/account/cancellation-policy/; https://help.surveymonkey.com/en/surveymonkey/billing/invoice-billing/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/wufoo/account/billing-info/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-text-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-results/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how to insert custom branding,https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/getfeedback/builder/branding-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/custom-data/; https://help.surveymonkey.com/en/apply/features/manage-custom-fields/; https://help.surveymonkey.com/en/getfeedback/builder/custom-survey-links/; https://help.surveymonkey.com/en/surveymonkey/create/advanced-piping/; https://help.surveymonkey.com/en/surveymonkey/analyze/ppt-exports/; https://help.surveymonkey.com/en/apply/features/custom-field-values/; https://help.surveymonkey.com/en/surveymonkey/send/required-data-email-invitations/; https://help.surveymonkey.com/en/surveymonkey/send/custom-variables/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
download survey results as PDF,https://help.surveymonkey.com/en/surveymonkey/analyze/pdf-exports/,True,3.0,https://help.surveymonkey.com/en/surveymonkey/manage/printing-survey-pdfs/; https://help.surveymonkey.com/en/apply/monitor/download-app/; https://help.surveymonkey.com/en/surveymonkey/analyze/pdf-exports/; https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/; https://help.surveymonkey.com/en/apply/build/attachment-formats/; https://help.surveymonkey.com/en/surveymonkey/analyze/finding-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/exports-wont-open/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
how to use survey logic,https://help.surveymonkey.com/en/surveymonkey/create/logic-options/,True,5.0,https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/page-skip-logic/; https://help.surveymonkey.com/en/getfeedback/builder/merge-fields-logic/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/logic-options/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/create/skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/surveymonkey/site/system-messages/; https://help.surveymonkey.com/en/getfeedback/builder/survey-builder/,0.0,0.0,0.0,0.0,0.2,1.0,0.1,1.0,0.2
automatically redirect after completing survey,https://help.surveymonkey.com/en/surveymonkey/create/survey-end-page/,True,3.0,https://help.surveymonkey.com/en/getfeedback/programs/kiosk-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/create/survey-end-page/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/getfeedback/builder/multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/wufoo/build/form-confirmation/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
how do I create a survey template,https://help.surveymonkey.com/en/surveymonkey/create/using-templates/,True,6.0,https://help.surveymonkey.com/en/apply/features/email-templates/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-embed-csat-survey-signature/; https://help.surveymonkey.com/en/getfeedback/builder/saving-survey-templates/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-transactional-emails/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-visualforce-email-templates/; https://help.surveymonkey.com/en/surveymonkey/create/using-templates/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-custom-buttons/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/integrations/salesforce-case-closed/; https://help.surveymonkey.com/en/surveymonkey/create/symptom-tracking-survey/,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.16666666666666666
can I exclude respondents that skipped questions,https://help.surveymonkey.com/en/surveymonkey/analyze/skipped-questions/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/skipped-questions/; https://help.surveymonkey.com/en/surveymonkey/analyze/respondents-skipping-questions/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-additional-settings/; https://help.surveymonkey.com/en/surveymonkey/create/required-questions/; https://help.surveymonkey.com/en/surveymonkey/create/disqualifying-respondents/; https://help.surveymonkey.com/en/getfeedback/insights/workspaces-score-filter/; https://help.surveymonkey.com/en/surveymonkey/send/printing-responses/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/send/tracking-respondents/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I embed a survey on my website,https://help.surveymonkey.com/en/surveymonkey/send/website-collector/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/website-collector/; https://help.surveymonkey.com/en/surveymonkey/integrations/embedding-wufoo-forms/; https://help.surveymonkey.com/en/surveymonkey/send/embedding-questions/; https://help.surveymonkey.com/en/surveymonkey/create/videos/; https://help.surveymonkey.com/en/getfeedback/account/product-overview/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/getfeedback/builder/web-theme/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/wufoo/themes/using-html/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how to change question font size,https://help.surveymonkey.com/en/surveymonkey/create/question-size-layout/,True,3.0,https://help.surveymonkey.com/en/wufoo/themes/form-fonts/; https://help.surveymonkey.com/en/surveymonkey/teams/custom-css/; https://help.surveymonkey.com/en/surveymonkey/create/question-size-layout/; https://help.surveymonkey.com/en/surveymonkey/create/editing-questions/; https://help.surveymonkey.com/en/surveymonkey/create/html/; https://help.surveymonkey.com/en/getfeedback/builder/email-theme/; https://help.surveymonkey.com/en/apply/build/ranking-question/; https://help.surveymonkey.com/en/apply/build/text-response/; https://help.surveymonkey.com/en/apply/build/rating-scale-question/; https://help.surveymonkey.com/en/apply/build/dropdown-question/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
export results by question,https://help.surveymonkey.com/en/surveymonkey/analyze/exporting-individual-questions/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/exporting-individual-questions/; https://help.surveymonkey.com/en/surveymonkey/analyze/pdf-exports/; https://help.surveymonkey.com/en/surveymonkey/create/name/; https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/email/; https://help.surveymonkey.com/en/surveymonkey/create/editing-questions/; https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/; https://help.surveymonkey.com/en/apply/analyze/data-exports/; https://help.surveymonkey.com/en/surveymonkey/create/dropdown/; https://help.surveymonkey.com/en/surveymonkey/create/address/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how do I view individual responses,https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/,True,3.0,https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-results/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/export-examples/; https://help.surveymonkey.com/en/surveymonkey/analyze/pdf-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/viewing-comments/; https://help.surveymonkey.com/en/getfeedback/insights/responses-explorer/; https://help.surveymonkey.com/en/surveymonkey/analyze/creating-views/; https://help.surveymonkey.com/en/surveymonkey/analyze/out-of-order-responses/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
filter responses by custom variable,https://help.surveymonkey.com/en/surveymonkey/analyze/filter-rules/,True,2.0,https://help.surveymonkey.com/en/getfeedback/insights/workspaces-metadata-filter/; https://help.surveymonkey.com/en/surveymonkey/analyze/filter-rules/; https://help.surveymonkey.com/en/apply/monitor/app-filters/; https://help.surveymonkey.com/en/apply/monitor/custom-filters/; https://help.surveymonkey.com/en/apply/monitor/user-filters/; https://help.surveymonkey.com/en/getfeedback/builder/custom-variables/; https://help.surveymonkey.com/en/getfeedback/insights/filter-results/; https://help.surveymonkey.com/en/surveymonkey/send/custom-variables/; https://help.surveymonkey.com/en/getfeedback/insights/workspaces-score-filter/; https://help.surveymonkey.com/en/surveymonkey/analyze/filtering-open-ended-comments/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
how to switch from monthly to yearly billing,https://help.surveymonkey.com/en/surveymonkey/billing/monthly-payment-option/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/billing/monthly-payment-option/; https://help.surveymonkey.com/en/wufoo/account/account-entry-limits/; https://help.surveymonkey.com/en/surveymonkey/billing/auto-renew/; https://help.surveymonkey.com/en/surveymonkey/billing/team-billing/; https://help.surveymonkey.com/en/surveymonkey/billing/automatic-renewals/; https://help.surveymonkey.com/en/wufoo/account/billing-info/; https://help.surveymonkey.com/en/surveymonkey/billing/response-limits/; https://help.surveymonkey.com/en/getfeedback/account/cancellation-policy/; https://help.surveymonkey.com/en/wufoo/account/upgrade-your-plan/; https://help.surveymonkey.com/en/surveymonkey/billing/billing-currency/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I copy questions from one survey to another,https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/,True,2.0,https://help.surveymonkey.com/en/surveymonkey/manage/sending-survey-copies/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/copying-moving-questions/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/design-character-limits/; https://help.surveymonkey.com/en/getfeedback/builder/survey-builder/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
can I integrate SurveyMonkey with Mailchimp,https://help.surveymonkey.com/en/surveymonkey/integrations/mailchimp-integration/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/integrations/mailchimp-integration/; https://help.surveymonkey.com/en/surveymonkey/integrations/surveymonkey-api/; https://help.surveymonkey.com/en/surveymonkey/integrations/zapier/; https://help.surveymonkey.com/en/wufoo/integrations/integrations-overview/; https://help.surveymonkey.com/en/surveymonkey/policy/citing-surveymonkey/; https://help.surveymonkey.com/en/surveymonkey/site/site-status-information/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-for-academics/; https://help.surveymonkey.com/en/wufoo/share/sharing-forms/; https://help.surveymonkey.com/en/surveymonkey/policy/legal-center-pages/; https://help.surveymonkey.com/en/surveymonkey/site/supported-browsers/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I add a reward for my survey,https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/surveymonkey/site/rewards-faq/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/getfeedback/builder/survey-builder/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/policy/audience-policies/; https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
make responses anonymous,https://help.surveymonkey.com/en/surveymonkey/send/anonymous-responses/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/anonymous-responses/; https://help.surveymonkey.com/en/getfeedback/account/anonymous-feedback/; https://help.surveymonkey.com/en/surveymonkey/teams/enterprise-settings/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-text-responses/; https://help.surveymonkey.com/en/surveymonkey/send/tracking-respondents/; https://help.surveymonkey.com/en/surveymonkey/send/surveymonkey-audience/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
