Query,Expected Article (URL),Match Found,Rank (if found),Top Results (URLs),Top Result Titles,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10,MRR
can I score survey answers,https://help.surveymonkey.com/en/surveymonkey/create/survey-score/,True,4.0,https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/analyze/assigning-numerical-values/; https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/surveymonkey/create/survey-score/; https://help.surveymonkey.com/en/surveymonkey/site/surveymonkey-app-faq/; https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/; https://help.surveymonkey.com/en/surveymonkey/create/question-answer-piping/; https://help.surveymonkey.com/en/surveymonkey/policy/collecting-sensitive-information/; https://help.surveymonkey.com/en/surveymonkey/create/bulk-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/site/anywhere-faq/,"Survey Takers Canât Complete My Survey; Can I assign numerical values to answer choices?; Can I add a reward to my survey?; Scoring Your Survey; SurveyMonkey App FAQs; Can I limit the number of answer choices a respondent can select?; Question & Answer Piping; Can I ask for credit card details, SSNs, or other personal information?; Adding Answer Choices in Bulk; SurveyMonkey Anywhere FAQs",0.0,0.0,0.0,0.0,0.2,1.0,0.1,1.0,0.25
can I password protect my survey,https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/; https://help.surveymonkey.com/en/surveymonkey/send/respondent-logins/; https://help.surveymonkey.com/en/surveymonkey/policy/irb-guidelines/; https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/surveymonkey/policy/collecting-sensitive-information/; https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/; https://help.surveymonkey.com/en/surveymonkey/analyze/shared-data-pages/; https://help.surveymonkey.com/en/getfeedback/account/your-password/; https://help.surveymonkey.com/en/surveymonkey/send/can-i-time-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/required-questions/,"Restricting Survey Access by Password or IP Address; Can I create a unique login and password for each survey respondent?; SurveyMonkey and IRB Guidelines; Can I add a reward to my survey?; Can I ask for credit card details, SSNs, or other personal information?; Can I limit the number of answer choices a respondent can select?; Shared Data Pages; Resetting Your Password; Can I time surveys?; Making Survey Questions Required",1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how do I track who filled out my survey,https://help.surveymonkey.com/en/surveymonkey/send/tracking-email-invitations/,True,10.0,https://help.surveymonkey.com/en/surveymonkey/send/tracking-respondents/; https://help.surveymonkey.com/en/surveymonkey/send/ip-tracking/; https://help.surveymonkey.com/en/surveymonkey/send/response-recording/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/getfeedback/account/anonymous-feedback/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/getfeedback/channels/send-to-a-list/; https://help.surveymonkey.com/en/surveymonkey/send/tracking-email-invitations/,Tracking Respondents; IP Tracking; How do I know my responses were recorded?; Finding a Survey; Missing Survey Responses; Survey Takers Canât Complete My Survey; Getting Anonymous Feedback; Viewing Your Survey Summary; Email to a List; Tracking Email Invitations,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.1
how do I share results with others,https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/; https://help.surveymonkey.com/en/surveymonkey/analyze/shared-data-pages/; https://help.surveymonkey.com/en/getfeedback/account/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/integrations/onedrive-integration/; https://help.surveymonkey.com/en/surveymonkey/analyze/commenting/; https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/sharing-surveys/; https://help.surveymonkey.com/en/getfeedback/insights/email-reports-dashboards/; https://help.surveymonkey.com/en/surveymonkey/send/social-media-collector/; https://help.surveymonkey.com/en/surveymonkey/integrations/microsoft-teams-integration/,Sharing Survey Results; Shared Data Pages; Sharing and Transferring Surveys; OneDrive Integration; Getting Feedback on Surveys and Results; Can I merge surveys or survey results?; Sharing Surveys with Others; Email Summary Reports and Dashboards; Share Your Survey on Social Media; Microsoft Teams Integration,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
limit one response per person,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/billing/response-limits/; https://help.surveymonkey.com/en/wufoo/build/allow-once-ip/; https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/; https://help.surveymonkey.com/en/surveymonkey/create/answering-multiple-times/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-ids/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/wufoo/build/limit-total-entries/,Limiting Responses to a Survey; Allowing Multiple Responses; Account Response Limits; Allowing Only One Entry Per IP Address; Can I limit the number of answer choices a respondent can select?; Can a respondent fill out the same question or page multiple times?; Viewing Individual Responses; Does each respondent get assigned a response ID?; Survey Takers Canât Complete My Survey; Limiting the Total Number of Form Entries,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how to cancel a team members access,https://help.surveymonkey.com/en/surveymonkey/teams/access-levels/,False,,https://help.surveymonkey.com/en/surveymonkey/teams/manage-enterprise/; https://help.surveymonkey.com/en/apply/monitor/manage-reviewers/; https://help.surveymonkey.com/en/surveymonkey/getting-started/manage-seats/; https://help.surveymonkey.com/en/surveymonkey/teams/team-roles-permissions/; https://help.surveymonkey.com/en/surveymonkey/teams/manage-your-teams-surveys/; https://help.surveymonkey.com/en/surveymonkey/teams/scim/; https://help.surveymonkey.com/en/surveymonkey/billing/team-billing/; https://help.surveymonkey.com/en/surveymonkey/teams/team-discovery/; https://help.surveymonkey.com/en/getfeedback/account/insights-team-permissions/; https://help.surveymonkey.com/en/wufoo/account/cancelation-policy/,"Managing Seats on Your Enterprise Team; How to Manage Reviewer Team Members; Managing Seats on Your Team; Team Seats, Roles, and Permissions; Manage Your Teamâs Surveys; Manage Accounts with SCIM; Team Billing; Discover Teams at Your Company; Managing Permissions in Insights; Canceling Your Account",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
do responses auto-save,https://help.surveymonkey.com/en/surveymonkey/send/response-recording/,True,7.0,https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/integrations/slack-automation/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/send/answers-already-selected/; https://help.surveymonkey.com/en/surveymonkey/send/response-recording/; https://help.surveymonkey.com/en/getfeedback/insights/responses-explorer/; https://help.surveymonkey.com/en/surveymonkey/analyze/out-of-order-responses/; https://help.surveymonkey.com/en/surveymonkey/site/anywhere-faq/,Editing Survey Responses; Can a survey be saved and finished later?; Post Responses Automatically in Slack; Missing Survey Responses; Allowing Multiple Responses; Why are answers already selected when I try to take a survey?; How do I know my responses were recorded?; Responses Explorer; Responses Are Out of Order; SurveyMonkey Anywhere FAQs,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.14285714285714285
how to insert custom branding,https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/,True,2.0,https://help.surveymonkey.com/en/getfeedback/builder/branding-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/surveymonkey/create/adding-logos/; https://help.surveymonkey.com/en/apply/features/custom-url/; https://help.surveymonkey.com/en/getfeedback/builder/custom-survey-links/; https://help.surveymonkey.com/en/getfeedback/builder/custom-forms/; https://help.surveymonkey.com/en/surveymonkey/teams/custom-css/; https://help.surveymonkey.com/en/surveymonkey/teams/custom-sender-name/; https://help.surveymonkey.com/en/getfeedback/channels/web-widgets/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/,Whitelabeling & Branding Your Surveys; Branding Your Survey; Adding or Editing a Logo to Your Survey Design; How to Apply a Custom (Vanity) URL; Custom Survey Links and Domains; Custom Forms; Use CSS to Style Your Survey; Custom Sender Name and Email Domain; In-Page Widgets; Adding a Custom Thank You,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
download survey results as PDF,https://help.surveymonkey.com/en/surveymonkey/analyze/pdf-exports/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/pdf-exports/; https://help.surveymonkey.com/en/surveymonkey/manage/printing-survey-pdfs/; https://help.surveymonkey.com/en/surveymonkey/analyze/export-examples/; https://help.surveymonkey.com/en/surveymonkey/analyze/exports-wont-open/; https://help.surveymonkey.com/en/surveymonkey/send/printing-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/; https://help.surveymonkey.com/en/surveymonkey/analyze/csv-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/finding-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/troubleshooting-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/xls-exports/,PDF Exports | SurveyMonkey Help; Printing a PDF of a Survey; Export Examples; Export Wonât Download or Open; Can respondents print their responses?; Sharing Survey Results; CSV Exports; Where do my exports go after I download them?; Troubleshooting Exports; XLS (Excel) Exports,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how to use survey logic,https://help.surveymonkey.com/en/surveymonkey/create/logic-options/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/logic-options/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/getfeedback/builder/merge-fields-logic/; https://help.surveymonkey.com/en/surveymonkey/create/page-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/site/system-messages/; https://help.surveymonkey.com/en/getfeedback/builder/conditional-logic/; https://help.surveymonkey.com/en/surveymonkey/create/disqualifying-respondents/; https://help.surveymonkey.com/en/surveymonkey/create/advanced-branching/,Logic Features; Question Skip Logic; Skip Logic; Troubleshooting Skip Logic Issues; Using Merge Fields in Survey Logic; Page Skip Logic; Survey Design System Messages; Conditional Logic; Disqualifying Respondents; Advanced Branching,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
automatically redirect after completing survey,https://help.surveymonkey.com/en/surveymonkey/create/survey-end-page/,True,4.0,https://help.surveymonkey.com/en/getfeedback/programs/kiosk-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/; https://help.surveymonkey.com/en/surveymonkey/create/survey-end-page/; https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/; https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/getfeedback/programs/feedback-when-leaving-site/; https://help.surveymonkey.com/en/surveymonkey/send/web-link-collector/; https://help.surveymonkey.com/en/surveymonkey/send/broken-survey-link/,Kiosk Surveys; Survey Takers Canât Complete My Survey; Adding a Custom Thank You; Survey End Page; Sending Reminder and Thank You Emails | SurveyMonkey Help; Sending Reminder and Thank You Emails | SurveyMonkey Help; Can a survey be saved and finished later?; Get Feedback When Respondents Leave a Site; Creating a Web Link for Your Survey | SurveyMonkey Help; Survey Link Doesnât Work,0.0,0.0,0.0,0.0,0.2,1.0,0.1,1.0,0.25
how do I create a survey template,https://help.surveymonkey.com/en/surveymonkey/create/using-templates/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/using-templates/; https://help.surveymonkey.com/en/getfeedback/builder/saving-survey-templates/; https://help.surveymonkey.com/en/surveymonkey/create/available-benchmarks/; https://help.surveymonkey.com/en/getfeedback/channels/email-embed/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-embed-csat-survey-signature/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-visualforce-email-templates/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/return-to-work/; https://help.surveymonkey.com/en/surveymonkey/create/forms/,Creating Surveys from Templates | SurveyMonkey Help; Saving Surveys as Templates; Benchmarkable Questions & Templates; One-touch Surveys; Embedding Surveys in Salesforce Email Signatures; Branding Your Survey; Salesforce Visualforce Email Templates; Copying a Survey | SurveyMonkey Help; Return to Work Solutions; Getting Started with Forms,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I exclude respondents that skipped questions,https://help.surveymonkey.com/en/surveymonkey/analyze/skipped-questions/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/skipped-questions/; https://help.surveymonkey.com/en/surveymonkey/analyze/respondents-skipping-questions/; https://help.surveymonkey.com/en/surveymonkey/create/disqualifying-respondents/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-additional-settings/; https://help.surveymonkey.com/en/surveymonkey/create/page-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/analyze/combining-hiding-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/,Excluding Respondents who Skipped Questions; Respondents Skipped Required Questions; Disqualifying Respondents; Question Skip Logic; Skip Logic; Troubleshooting Skip Logic Issues; SurveyMonkey Audience: Additional Targeting Settings; Page Skip Logic; Combining or Hiding Answer Choices; Can I limit the number of answer choices a respondent can select?,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I embed a survey on my website,https://help.surveymonkey.com/en/surveymonkey/send/website-collector/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/website-collector/; https://help.surveymonkey.com/en/getfeedback/channels/email-embed/; https://help.surveymonkey.com/en/surveymonkey/integrations/embedding-wufoo-forms/; https://help.surveymonkey.com/en/getfeedback/channels/web-overlay/; https://help.surveymonkey.com/en/getfeedback/channels/web-widgets/; https://help.surveymonkey.com/en/surveymonkey/send/embedding-questions/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-embed-csat-survey-signature/; https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/getfeedback/builder/web-theme/; https://help.surveymonkey.com/en/getfeedback/zendesk/zendesk-embed-email-replies/,Embedding Your Survey or Form on a Website | SurveyMonkey Help; One-touch Surveys; Embedding a Wufoo Form in a Survey; Web Overlay Surveys (Modals); In-Page Widgets; Embedding Questions in Email Invitations; Embedding Surveys in Salesforce Email Signatures; Can I add a reward to my survey?; Survey Theme: Website; Embedding Web Surveys in Zendesk Email Replies (app.usabilla.com),1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
