Query,Expected Article (URL),Match Found,Rank (if found),Top Results (URLs),Top Result Titles,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10,MRR
can I score survey answers,https://help.surveymonkey.com/en/surveymonkey/create/survey-score/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/survey-score/; https://help.surveymonkey.com/en/surveymonkey/send/answers-already-selected/; https://help.surveymonkey.com/en/surveymonkey/create/symptom-tracking-survey/; https://help.surveymonkey.com/en/surveymonkey/create/quizzes/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/getfeedback/insights/workspaces-score-filter/; https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/surveymonkey/create/question-types/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/editing-questions/,Scoring Your Survey; Why are answers already selected when I try to take a survey?; Covid-19 Symptom Tracking Survey; Quizzes; Survey Takers Can’t Complete My Survey; Filtering by Score Questions in Workspaces; Can I add a reward to my survey?; Question Types; Can a survey be saved and finished later?; Adding and Editing Questions,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I password protect my survey,https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/,True,3.0,https://help.surveymonkey.com/en/surveymonkey/send/respondent-logins/; https://help.surveymonkey.com/en/getfeedback/account/your-password/; https://help.surveymonkey.com/en/surveymonkey/send/restricting-survey-access/; https://help.surveymonkey.com/en/surveymonkey/analyze/shared-data-pages/; https://help.surveymonkey.com/en/surveymonkey/teams/working-with-others/; https://help.surveymonkey.com/en/apply/faqs/tls-security-updates/; https://help.surveymonkey.com/en/wufoo/reports/report-manager/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/,Can I create a unique login and password for each survey respondent?; Resetting Your Password; Restricting Survey Access by Password or IP Address; Shared Data Pages; Working with Others on Surveys; TLS Security Updates; Managing Your Reports; Finding a Survey; Can I add a reward to my survey?; Survey Takers Can’t Complete My Survey,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
how do I track who filled out my survey,https://help.surveymonkey.com/en/surveymonkey/send/tracking-email-invitations/,False,,https://help.surveymonkey.com/en/surveymonkey/send/tracking-respondents/; https://help.surveymonkey.com/en/surveymonkey/send/broken-survey-link/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/wufoo/reports/individual-entries/; https://help.surveymonkey.com/en/surveymonkey/send/ip-tracking/; https://help.surveymonkey.com/en/getfeedback/builder/merge-fields-logic/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/getfeedback/channels/send-to-a-list/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/,Tracking Respondents; Survey Link Doesn’t Work; Finding a Survey; Missing Survey Responses; Managing Individual Entries; IP Tracking; Using Merge Fields in Survey Logic; Viewing Your Survey Summary; Email to a List; Survey Takers Can’t Complete My Survey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how do I share results with others,https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/; https://help.surveymonkey.com/en/wufoo/share/sharing-forms/; https://help.surveymonkey.com/en/surveymonkey/analyze/shared-data-pages/; https://help.surveymonkey.com/en/surveymonkey/integrations/zoom-integration/; https://help.surveymonkey.com/en/surveymonkey/integrations/microsoft-teams-integration/; https://help.surveymonkey.com/en/getfeedback/account/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/integrations/onedrive-integration/; https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/return-to-work/,Sharing Survey Results; Ways to Share Your Form; Shared Data Pages; Zoom Integration; Microsoft Teams Integration; Sharing and Transferring Surveys; Sharing Surveys with Others; OneDrive Integration; Can I merge surveys or survey results?; Return to Work Solutions,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
limit one response per person,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/billing/response-limits/; https://help.surveymonkey.com/en/wufoo/build/allow-once-ip/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-ids/; https://help.surveymonkey.com/en/surveymonkey/create/limiting-answer-choices-2/; https://help.surveymonkey.com/en/wufoo/account/account-entry-limits/; https://help.surveymonkey.com/en/wufoo/build/limit-total-entries/; https://help.surveymonkey.com/en/wufoo/build/add-edit-fields/; https://help.surveymonkey.com/en/wufoo/build/multi-page-forms/; https://help.surveymonkey.com/en/wufoo/build/limit-answer-range/,Limiting Responses to a Survey; Account Response Limits; Allowing Only One Entry Per IP Address; Does each respondent get assigned a response ID?; Can I limit the number of answer choices a respondent can select?; Your Account’s Monthly Entry Limit; Limiting the Total Number of Form Entries; Adding and Editing Fields; Forms with Multiple Pages; Limiting Answers to a Specific Range,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how to cancel a team members access,https://help.surveymonkey.com/en/surveymonkey/teams/access-levels/,False,,https://help.surveymonkey.com/en/surveymonkey/getting-started/manage-seats/; https://help.surveymonkey.com/en/apply/monitor/manage-reviewers/; https://help.surveymonkey.com/en/surveymonkey/teams/manage-enterprise/; https://help.surveymonkey.com/en/getfeedback/account/cancellation-policy/; https://help.surveymonkey.com/en/surveymonkey/manage/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/teams/team-roles-permissions/; https://help.surveymonkey.com/en/getfeedback/account/insights-team-permissions/; https://help.surveymonkey.com/en/surveymonkey/teams/enterprise-settings/; https://help.surveymonkey.com/en/surveymonkey/billing/team-billing/; https://help.surveymonkey.com/en/surveymonkey/teams/workgroups/,"Managing Seats on Your Team; How to Manage Reviewer Team Members; Managing Seats on Your Enterprise Team; GetFeedback Cancellation Policy; Sharing Surveys with Others; Team Seats, Roles, and Permissions; Managing Permissions in Insights; Enterprise Settings; Team Billing; Workgroups",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
do responses auto-save,https://help.surveymonkey.com/en/surveymonkey/send/response-recording/,False,,https://help.surveymonkey.com/en/surveymonkey/billing/automatic-renewals/; https://help.surveymonkey.com/en/surveymonkey/billing/auto-renew/; https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/wufoo/account/cancelation-policy/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/getfeedback/builder/custom-forms/; https://help.surveymonkey.com/en/surveymonkey/analyze/out-of-order-responses/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/tagging-responses/; https://help.surveymonkey.com/en/getfeedback/account/cancellation-policy/,Why was I charged again?; Auto-Renew; Editing Survey Responses; Canceling Your Account; Allowing Multiple Responses; Custom Forms; Responses Are Out of Order; Clearing or Deleting Responses; Tagging Responses; GetFeedback Cancellation Policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how to insert custom branding,https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/,True,2.0,https://help.surveymonkey.com/en/getfeedback/builder/branding-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/getfeedback/builder/custom-survey-links/; https://help.surveymonkey.com/en/getfeedback/builder/web-theme/; https://help.surveymonkey.com/en/surveymonkey/send/required-data-email-invitations/; https://help.surveymonkey.com/en/surveymonkey/send/custom-variables/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/; https://help.surveymonkey.com/en/surveymonkey/send/custom-data/; https://help.surveymonkey.com/en/surveymonkey/create/surveymonkey-footer/; https://help.surveymonkey.com/en/surveymonkey/analyze/ppt-exports/,Whitelabeling & Branding Your Surveys; Branding Your Survey; Custom Survey Links and Domains; Survey Theme: Website; Required Data in Email Invitations; Custom Variables; Adding a Custom Thank You; Using Custom Data to Store Contact Info; Changing the SurveyMonkey Footer; PPT (PowerPoint) Exports,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
download survey results as PDF,https://help.surveymonkey.com/en/surveymonkey/analyze/pdf-exports/,True,2.0,https://help.surveymonkey.com/en/surveymonkey/manage/printing-survey-pdfs/; https://help.surveymonkey.com/en/surveymonkey/analyze/pdf-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/; https://help.surveymonkey.com/en/surveymonkey/manage/merging-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/exports-wont-open/; https://help.surveymonkey.com/en/apply/monitor/download-app/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-results/; https://help.surveymonkey.com/en/surveymonkey/analyze/finding-exports/; https://help.surveymonkey.com/en/surveymonkey/analyze/export-examples/; https://help.surveymonkey.com/en/surveymonkey/analyze/using-rules/,Printing a PDF of a Survey; PDF Exports | SurveyMonkey Help; Sharing Survey Results; Can I merge surveys or survey results?; Export Won’t Download or Open; How to Download an Application; How to Analyze Results; Where do my exports go after I download them?; Export Examples; Using Rules to Break Down Survey Results,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
how to use survey logic,https://help.surveymonkey.com/en/surveymonkey/create/logic-options/,True,3.0,https://help.surveymonkey.com/en/getfeedback/builder/merge-fields-logic/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/logic-options/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/page-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/surveymonkey/site/system-messages/; https://help.surveymonkey.com/en/surveymonkey/create/skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/survey-tips/; https://help.surveymonkey.com/en/getfeedback/builder/multilingual-surveys/,"Using Merge Fields in Survey Logic; Troubleshooting Skip Logic Issues; Logic Features; Question Skip Logic; Page Skip Logic; Previewing, Testing, and Reviewing Surveys; Survey Design System Messages; Skip Logic; 5 Tips for Writing a Great Survey; Multilingual Surveys",0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
automatically redirect after completing survey,https://help.surveymonkey.com/en/surveymonkey/create/survey-end-page/,True,3.0,https://help.surveymonkey.com/en/getfeedback/programs/kiosk-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/create/survey-end-page/; https://help.surveymonkey.com/en/surveymonkey/send/response-recording/; https://help.surveymonkey.com/en/surveymonkey/create/adding-rewards/; https://help.surveymonkey.com/en/surveymonkey/solutions/surveymonkey-contribute/; https://help.surveymonkey.com/en/getfeedback/channels/app-offline-mode/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/surveymonkey/send/collector-options/; https://help.surveymonkey.com/en/surveymonkey/send/printing-responses/,Kiosk Surveys; Survey Takers Can’t Complete My Survey; Survey End Page; How do I know my responses were recorded?; Can I add a reward to my survey?; SurveyMonkey Contribute; Offline Mode in Apps; Branding Your Survey; Managing Survey Collector Options; Can respondents print their responses?,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
how do I create a survey template,https://help.surveymonkey.com/en/surveymonkey/create/using-templates/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/create/using-templates/; https://help.surveymonkey.com/en/getfeedback/builder/saving-survey-templates/; https://help.surveymonkey.com/en/surveymonkey/create/return-to-work/; https://help.surveymonkey.com/en/surveymonkey/create/symptom-tracking-survey/; https://help.surveymonkey.com/en/apply/features/email-templates/; https://help.surveymonkey.com/en/surveymonkey/integrations/salesforce-case-closed/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-embed-csat-survey-signature/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-visualforce-email-templates/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-transactional-emails/; https://help.surveymonkey.com/en/surveymonkey/create/available-benchmarks/,Creating Surveys from Templates | SurveyMonkey Help; Saving Surveys as Templates; Return to Work Solutions; Covid-19 Symptom Tracking Survey; How to Manage Email Templates; SurveyMonkey for Salesforce: Creating a Case Closed Survey; Embedding Surveys in Salesforce Email Signatures; Salesforce Visualforce Email Templates; Sending Transactional Emails from Salesforce; Benchmarkable Questions & Templates,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I exclude respondents that skipped questions,https://help.surveymonkey.com/en/surveymonkey/analyze/skipped-questions/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/analyze/skipped-questions/; https://help.surveymonkey.com/en/surveymonkey/analyze/respondents-skipping-questions/; https://help.surveymonkey.com/en/surveymonkey/create/disqualifying-respondents/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-additional-settings/; https://help.surveymonkey.com/en/surveymonkey/create/required-questions/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/skip-logic/; https://help.surveymonkey.com/en/surveymonkey/send/printing-responses/; https://help.surveymonkey.com/en/surveymonkey/create/page-skip-logic/,Excluding Respondents who Skipped Questions; Respondents Skipped Required Questions; Disqualifying Respondents; SurveyMonkey Audience: Additional Targeting Settings; Making Survey Questions Required; Troubleshooting Skip Logic Issues; Question Skip Logic; Skip Logic; Can respondents print their responses?; Page Skip Logic,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I embed a survey on my website,https://help.surveymonkey.com/en/surveymonkey/send/website-collector/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/website-collector/; https://help.surveymonkey.com/en/surveymonkey/integrations/embedding-wufoo-forms/; https://help.surveymonkey.com/en/getfeedback/builder/web-theme/; https://help.surveymonkey.com/en/getfeedback/channels/email-embed/; https://help.surveymonkey.com/en/surveymonkey/create/videos/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/getfeedback/channels/web-overlay/; https://help.surveymonkey.com/en/surveymonkey/create/surveymonkey-footer/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-embed-csat-survey-signature/; https://help.surveymonkey.com/en/surveymonkey/getting-started/sending-your-survey/,Embedding Your Survey or Form on a Website | SurveyMonkey Help; Embedding a Wufoo Form in a Survey; Survey Theme: Website; One-touch Surveys; Adding a Video; Editing a Live Survey | SurveyMonkey Help; Web Overlay Surveys (Modals); Changing the SurveyMonkey Footer; Embedding Surveys in Salesforce Email Signatures; Ways to Send Your Survey,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
how to change question font size,https://help.surveymonkey.com/en/surveymonkey/create/question-size-layout/,True,3.0,https://help.surveymonkey.com/en/wufoo/themes/form-fonts/; https://help.surveymonkey.com/en/surveymonkey/teams/custom-css/; https://help.surveymonkey.com/en/surveymonkey/create/question-size-layout/; https://help.surveymonkey.com/en/surveymonkey/create/html/; https://help.surveymonkey.com/en/surveymonkey/create/formatting-text/; https://help.surveymonkey.com/en/getfeedback/builder/email-theme/; https://help.surveymonkey.com/en/surveymonkey/create/editing-questions/; https://help.surveymonkey.com/en/surveymonkey/create/themes/; https://help.surveymonkey.com/en/surveymonkey/send/composing-email-invitations/; https://help.surveymonkey.com/en/wufoo/build/field-size/,Changing the Font on Your Form; Use CSS to Style Your Survey; Changing the Question Size and Layout; Supported HTML; Formatting Text; Survey Theme: Email; Adding and Editing Questions; Using Themes to Style Surveys; Composing Email Invitations; Adjusting Field Sizes,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
